sync,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
1,whole-image,3,67108864,67108864,4
2,whole-image,null,null,134217728,8
3,whole-image,null,null,201326592,12
4,whole-image,null,null,268435456,16
5,whole-image,null,null,335544320,20
6,whole-image,null,null,402653184,24
7,whole-image,null,null,469762048,28
8,whole-image,null,null,536870912,32
9,whole-image,null,null,603979776,36
10,whole-image,3,67108864,671088640,40
11,whole-image,null,null,738197504,44
12,whole-image,null,null,805306368,48
13,whole-image,null,null,872415232,52
14,whole-image,null,null,939524096,56
15,whole-image,null,null,1006632960,60
16,whole-image,null,null,1073741824,64
17,whole-image,null,null,1140850688,68
18,whole-image,null,null,1207959552,72
19,whole-image,null,null,1275068416,76
20,whole-image,null,null,1342177280,80
21,whole-image,null,null,1409286144,84
22,whole-image,null,null,1476395008,88
23,whole-image,null,null,1543503872,92
24,whole-image,null,null,1610612736,96
25,whole-image,null,null,1677721600,100
26,whole-image,null,null,1744830464,104
27,whole-image,null,null,1811939328,108
28,whole-image,null,null,1879048192,112
29,whole-image,null,null,1946157056,116
30,whole-image,3,67108864,2013265920,120
31,whole-image,null,null,2080374784,124
32,whole-image,null,null,2147483648,128
33,whole-image,null,null,2214592512,132
34,whole-image,null,null,2281701376,136
35,whole-image,null,null,2348810240,140
36,whole-image,null,null,2415919104,144
37,whole-image,null,null,2483027968,148
38,whole-image,null,null,2550136832,152
39,whole-image,null,null,2617245696,156
40,whole-image,null,null,2684354560,160
41,whole-image,null,null,2751463424,164
42,whole-image,null,null,2818572288,168
43,whole-image,null,null,2885681152,172
44,whole-image,null,null,2952790016,176
45,whole-image,null,null,3019898880,180
46,whole-image,null,null,3087007744,184
47,whole-image,null,null,3154116608,188
48,whole-image,null,null,3221225472,192
49,whole-image,null,null,3288334336,196
50,whole-image,null,null,3355443200,200
51,whole-image,null,null,3422552064,204
52,whole-image,null,null,3489660928,208
53,whole-image,null,null,3556769792,212
54,whole-image,null,null,3623878656,216
55,whole-image,null,null,3690987520,220
56,whole-image,null,null,3758096384,224
57,whole-image,null,null,3825205248,228
58,whole-image,null,null,3892314112,232
59,whole-image,null,null,3959422976,236
60,whole-image,3,67108864,4026531840,240
61,whole-image,null,null,4093640704,244
62,whole-image,null,null,4160749568,248
63,whole-image,null,null,4227858432,252
64,whole-image,null,null,4294967296,256
65,whole-image,null,null,4362076160,260
66,whole-image,null,null,4429185024,264
67,whole-image,null,null,4496293888,268
68,whole-image,null,null,4563402752,272
69,whole-image,null,null,4630511616,276
70,whole-image,null,null,4697620480,280
71,whole-image,null,null,4764729344,284
72,whole-image,null,null,4831838208,288
73,whole-image,null,null,4898947072,292
74,whole-image,null,null,4966055936,296
75,whole-image,null,null,5033164800,300
76,whole-image,null,null,5100273664,304
77,whole-image,null,null,5167382528,308
78,whole-image,null,null,5234491392,312
79,whole-image,null,null,5301600256,316
80,whole-image,null,null,5368709120,320
81,whole-image,null,null,5435817984,324
82,whole-image,null,null,5502926848,328
83,whole-image,null,null,5570035712,332
84,whole-image,null,null,5637144576,336
85,whole-image,null,null,5704253440,340
86,whole-image,null,null,5771362304,344
87,whole-image,null,null,5838471168,348
88,whole-image,null,null,5905580032,352
89,whole-image,null,null,5972688896,356
90,whole-image,3,67108864,6039797760,360
91,whole-image,null,null,6106906624,364
92,whole-image,null,null,6174015488,368
93,whole-image,null,null,6241124352,372
94,whole-image,null,null,6308233216,376
95,whole-image,null,null,6375342080,380
96,whole-image,null,null,6442450944,384
97,whole-image,null,null,6509559808,388
98,whole-image,null,null,6576668672,392
99,whole-image,null,null,6643777536,396
100,whole-image,null,null,6710886400,400
101,whole-image,null,null,6777995264,404
102,whole-image,null,null,6845104128,408
103,whole-image,null,null,6912212992,412
104,whole-image,null,null,6979321856,416
105,whole-image,null,null,7046430720,420
106,whole-image,null,null,7113539584,424
107,whole-image,null,null,7180648448,428
108,whole-image,null,null,7247757312,432
109,whole-image,null,null,7314866176,436
110,whole-image,null,null,7381975040,440
111,whole-image,null,null,7449083904,444
112,whole-image,null,null,7516192768,448
113,whole-image,null,null,7583301632,452
114,whole-image,null,null,7650410496,456
115,whole-image,null,null,7717519360,460
116,whole-image,null,null,7784628224,464
117,whole-image,null,null,7851737088,468
118,whole-image,null,null,7918845952,472
119,whole-image,null,null,7985954816,476
120,whole-image,3,67108864,8053063680,480
1,delta-pack,3,1048592,1048592,4
2,delta-pack,null,null,2097184,8
3,delta-pack,null,null,3145776,12
4,delta-pack,null,null,3932220,16
5,delta-pack,null,null,4980812,20
6,delta-pack,null,null,5767256,24
7,delta-pack,null,null,6553700,28
8,delta-pack,null,null,7340144,32
9,delta-pack,null,null,8388736,36
10,delta-pack,12,9437328,9437328,40
11,delta-pack,null,null,10485920,44
12,delta-pack,null,null,11534512,48
13,delta-pack,null,null,12583104,52
14,delta-pack,null,null,13631696,56
15,delta-pack,null,null,14680288,60
16,delta-pack,null,null,15728880,64
17,delta-pack,null,null,16777472,68
18,delta-pack,null,null,17826064,72
19,delta-pack,null,null,18874656,76
20,delta-pack,null,null,19923248,80
21,delta-pack,null,null,20971840,84
22,delta-pack,null,null,22020432,88
23,delta-pack,null,null,23069024,92
24,delta-pack,null,null,24117616,96
25,delta-pack,null,null,25166208,100
26,delta-pack,null,null,25952652,104
27,delta-pack,null,null,26739096,108
28,delta-pack,null,null,27787688,112
29,delta-pack,null,null,28836280,116
30,delta-pack,32,29884872,29884872,120
31,delta-pack,null,null,30933464,124
32,delta-pack,null,null,31982056,128
33,delta-pack,null,null,33030648,132
34,delta-pack,null,null,34079240,136
35,delta-pack,null,null,35127832,140
36,delta-pack,null,null,36176424,144
37,delta-pack,null,null,37225016,148
38,delta-pack,null,null,38273608,152
39,delta-pack,null,null,39322200,156
40,delta-pack,null,null,40370792,160
41,delta-pack,null,null,41419384,164
42,delta-pack,null,null,42467976,168
43,delta-pack,null,null,43516568,172
44,delta-pack,null,null,44565160,176
45,delta-pack,null,null,45613752,180
46,delta-pack,null,null,46400196,184
47,delta-pack,null,null,47448788,188
48,delta-pack,null,null,48497380,192
49,delta-pack,null,null,49545972,196
50,delta-pack,null,null,50594564,200
51,delta-pack,null,null,51381008,204
