writers,overlapChance,retries,attempts,first,rebased,refused,aborted,rebases,landed,requests,wasted,requestsPerLanded,headCommits
2,0,1,100,50,50,0,0,50,100,1350,0,13.5,101
2,0.25,1,100,50,42,8,0,42,92,1286,88,13.978260869565217,93
4,0,1,200,50,99,0,51,150,149,3620,977,24.29530201342282,150
4,0,3,200,50,150,0,0,300,200,4900,0,24.5,201
4,0.25,1,200,50,58,47,45,103,108,3062,1492,28.35185185185185,109
4,0.25,3,200,50,100,50,0,187,150,3807,792,25.38,151
8,0,1,400,50,170,0,180,350,220,8722,3896,39.64545454545455,221
8,0,7,400,50,350,0,0,1400,400,18600,0,46.5,401
8,0.25,1,400,50,97,118,135,232,147,6798,4227,46.244897959183675,148
8,0.25,7,400,50,207,143,0,684,257,11153,2739,43.39688715953307,258
