sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,28.898,2625522,17,2626024,57.754,2,6,9
2,backup,14,27,1.791,19934554,20,17835274,100.46,3,8,9
3,backup,16,43,3.381,83789854,25,72086565,95.408,4,12,9
4,backup,17,60,3.466,158451484,30,114563747,99.48,5,16,9
5,backup,16,76,2.874,213390596,41,154596152,103.861,6,26,9
6,backup,16,92,3.375,275372753,49,195379721,110.079,7,33,9
7,backup,17,109,3.573,344131619,56,236281602,105.637,8,39,9
8,backup,16,125,3.245,400070398,66,275735349,111.59,9,48,9
9,backup,16,141,3.172,456487910,74,317433129,109.827,10,55,9
10,backup,16,157,3.479,519298644,81,358758893,107.663,11,61,9
11,backup,17,174,3.718,591552553,89,399975283,101.466,12,68,9
12,backup,15,189,3.269,641071114,96,433669424,108.374,13,74,9
13,backup,15,204,2.965,680347460,103,464390229,107.405,14,80,9
14,backup,15,219,3.121,721023944,108,499902844,109.471,15,84,9
15,backup,15,234,3.157,764083049,114,531942206,109.042,16,89,9
16,backup,15,249,3.407,809700864,121,562797326,119.551,17,95,9
17,backup,15,264,3.374,848126279,127,591189675,119.708,18,100,9
18,backup,13,277,2.262,863869005,132,596434847,96.873,19,104,9
19,backup,14,291,2.738,880808519,136,599581838,121.305,20,107,9
20,backup,14,305,2.435,899728302,137,603778179,94.371,21,107,9
21,backup,13,318,2.478,913017484,141,608773100,95.099,22,110,9
22,backup,13,331,2.393,927461516,144,612969435,99.33,23,112,9
23,backup,14,345,2.475,944974492,148,619510575,105.051,24,115,9
24,backup,13,358,2.255,949461841,151,622059617,125.67,25,117,9
25,backup,14,372,3.018,974921382,154,628372993,117.359,26,119,9
26,backup,13,385,2.355,981836210,156,628897674,125.514,27,120,9
27,backup,14,399,2.655,1002233242,161,636535787,96.816,28,124,9
28,backup,13,412,2.43,1008715649,166,636536769,122.923,29,128,9
29,backup,13,425,1.984,1012919324,169,636012745,97.242,30,130,9
30,backup,14,439,2.709,1035192424,172,647231607,98.515,31,132,9
31,backup,13,452,2.505,1041058811,172,647232469,95.643,32,131,9
32,backup,14,466,2.975,1058196260,180,659320600,105.647,33,138,9
33,backup,13,479,2.429,1063990010,182,659845862,105.443,34,139,9
34,backup,13,492,2.572,1070663050,184,659846287,104.824,35,140,9
35,backup,14,506,3.234,1093647187,188,669089949,108.369,36,143,9
36,backup,13,519,2.643,1097348418,190,670139345,131.331,37,144,9
37,backup,15,534,3.726,1137867984,195,700364373,109.117,38,148,9
38,backup,13,547,2.319,1141038075,195,700889472,91.712,39,147,9
39,backup,13,560,2.324,1148784885,198,702420493,91.709,40,149,9
40,backup,14,574,3.571,1170749986,206,709762367,97.277,41,156,9
41,backup,13,587,2.114,1173927738,207,711336148,94.089,42,156,9
42,backup,14,601,3.32,1196835226,209,720140740,95.744,43,157,9
43,backup,13,614,2.302,1201826272,210,721190316,94.312,44,157,9
43,repaired,54,668,1.253,1201819950,168,721180312,94.224,2,157,9
