sync,label,dirtyChunks,liveChunks,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
1,"format and mount",64,64,whole-image,3,268435456,268435456,4
2,"unpack alpine",67,95,whole-image,3,268435456,536870912,8
3,"install vim",236,294,whole-image,3,268435456,805306368,12
4,"grow 1: new 128k file",16,295,whole-image,3,268435456,1073741824,16
5,"grow 2: new 256k file",12,295,whole-image,3,268435456,1342177280,20
6,"grow 3: new 512k file",14,298,whole-image,3,268435456,1610612736,24
7,"grow 4: new 64k file",10,298,whole-image,3,268435456,1879048192,28
8,"grow 5: new 128k file",10,298,whole-image,3,268435456,2147483648,32
9,"grow 6: new 256k file",12,299,whole-image,3,268435456,2415919104,36
10,"grow 7: new 512k file",15,301,whole-image,3,268435456,2684354560,40
11,"grow 8: new 64k file",10,301,whole-image,3,268435456,2952790016,44
12,"grow 9: new 128k file",11,302,whole-image,3,268435456,3221225472,48
13,"grow 10: new 256k file",11,303,whole-image,3,268435456,3489660928,52
14,"grow 11: new 512k file",13,306,whole-image,3,268435456,3758096384,56
15,"grow 12: new 64k file",10,306,whole-image,3,268435456,4026531840,60
16,"grow 13: new 128k file",11,306,whole-image,3,268435456,4294967296,64
17,"grow 14: new 256k file",12,307,whole-image,3,268435456,4563402752,68
18,"grow 15: new 512k file",12,309,whole-image,3,268435456,4831838208,72
19,"grow 16: new 64k file",10,310,whole-image,3,268435456,5100273664,76
20,"grow 17: new 128k file",11,310,whole-image,3,268435456,5368709120,80
21,"grow 18: new 256k file",12,312,whole-image,3,268435456,5637144576,84
22,"grow 19: new 512k file",14,314,whole-image,3,268435456,5905580032,88
23,"grow 20: new 64k file",10,314,whole-image,3,268435456,6174015488,92
24,"work 21: append to log",7,314,whole-image,3,268435456,6442450944,96
25,"work 22: rewrite part of f15",3,314,whole-image,3,268435456,6710886400,100
26,"work 23: edit with vim",9,314,whole-image,3,268435456,6979321856,104
27,"work 24: delete f9, create g24",12,315,whole-image,3,268435456,7247757312,108
28,"work 25: package churn",11,316,whole-image,3,268435456,7516192768,112
29,"work 26: append to log",4,316,whole-image,3,268435456,7784628224,116
30,"work 27: rewrite part of f10",4,316,whole-image,3,268435456,8053063680,120
31,"work 28: edit with vim",6,316,whole-image,3,268435456,8321499136,124
32,"work 29: delete f4, create g29",11,316,whole-image,3,268435456,8589934592,128
33,"work 30: package churn",11,317,whole-image,3,268435456,8858370048,132
34,"work 31: append to log",5,317,whole-image,3,268435456,9126805504,136
35,"work 32: rewrite part of f5",4,317,whole-image,3,268435456,9395240960,140
36,"work 33: edit with vim",6,317,whole-image,3,268435456,9663676416,144
37,"work 34: delete f19, create g34",11,317,whole-image,3,268435456,9932111872,148
38,"work 35: package churn",11,317,whole-image,3,268435456,10200547328,152
39,"work 36: append to log",4,317,whole-image,3,268435456,10468982784,156
40,"work 37: rewrite part of f20",4,317,whole-image,3,268435456,10737418240,160
41,"work 38: edit with vim",6,317,whole-image,3,268435456,11005853696,164
42,"work 39: delete f14, create g39",12,317,whole-image,3,268435456,11274289152,168
43,"work 40: package churn",12,318,whole-image,3,268435456,11542724608,172
1,"format and mount",64,64,delta-pack,3,16777472,16777472,4
2,"unpack alpine",67,95,delta-pack,4,34341388,34341388,8
3,"install vim",236,294,delta-pack,5,96208316,96208316,12
4,"grow 1: new 128k file",16,295,delta-pack,6,100402684,100402684,16
5,"grow 2: new 256k file",12,295,delta-pack,7,103548460,103548460,20
6,"grow 3: new 512k file",14,298,delta-pack,8,107218532,107218532,24
7,"grow 4: new 64k file",10,298,delta-pack,9,109840012,109840012,28
8,"grow 5: new 128k file",10,298,delta-pack,10,112461492,112461492,32
9,"grow 6: new 256k file",12,299,delta-pack,11,115607268,115607268,36
10,"grow 7: new 512k file",15,301,delta-pack,12,119539488,119539488,40
11,"grow 8: new 64k file",10,301,delta-pack,13,122160968,122160968,44
12,"grow 9: new 128k file",11,302,delta-pack,14,125044596,125044596,48
13,"grow 10: new 256k file",11,303,delta-pack,15,127928224,127928224,52
14,"grow 11: new 512k file",13,306,delta-pack,16,131336148,131336148,56
