sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,0.972,2628318,22,2628629,1.012,2,11,9
2,backup,14,27,0.941,31477669,25,29375617,0.924,3,13,9
3,backup,17,44,1.055,106419713,31,83454747,0.959,4,18,9
4,backup,13,57,0.957,112345286,35,86100465,1.048,5,21,9
5,backup,13,70,0.99,118999309,39,87251385,1.129,6,24,9
6,backup,13,83,0.964,126971296,41,86981786,1.112,7,25,9
7,backup,13,96,1.013,133747609,43,86983035,1.069,8,26,9
8,backup,13,109,0.98,141689060,43,86984382,5.189,9,25,9
9,backup,13,122,0.964,150467995,47,86985799,13.848,10,28,9
10,backup,14,136,5.33,174515784,45,90659219,0.991,11,25,9
11,backup,13,149,0.937,180791755,48,91184820,1.017,12,27,9
12,backup,13,162,0.949,187749386,49,91186092,1.235,13,27,9
13,backup,13,175,0.895,194707023,50,91187360,0.895,14,27,9
14,backup,14,189,0.935,215688288,51,91714159,0.997,15,27,9
15,backup,13,202,0.938,222773934,53,92239692,0.96,16,28,9
16,backup,13,215,0.899,230384004,54,91716705,0.915,17,28,9
17,backup,13,228,0.876,237994096,56,92242397,1.001,18,29,9
18,backup,13,241,0.911,245476233,58,92768120,0.999,19,30,9
19,backup,13,254,0.888,252433803,60,92769218,0.958,20,31,9
20,backup,13,267,0.982,259391383,61,92770437,1.011,21,31,9
21,backup,13,280,0.98,266873386,62,93296077,1.152,22,31,9
22,backup,13,293,1.051,274355421,64,93297380,1.297,23,32,9
23,backup,13,306,0.957,279588578,67,93298476,1.32,24,34,9
24,backup,13,319,0.902,283611350,69,94895330,1.003,25,35,9
25,backup,13,332,0.945,285504904,70,95729922,1.16,26,35,9
26,backup,13,345,0.951,289898230,72,95398862,1.259,27,36,9
27,backup,13,358,0.999,301339248,72,91729852,1.16,28,35,9
28,backup,13,371,1.004,305684721,75,92779958,1.251,29,37,9
29,backup,13,384,1.019,309182976,76,93305275,1.189,30,37,9
30,backup,13,397,0.948,311076894,77,93830431,1.087,31,37,9
31,backup,13,410,0.901,313372433,80,93307014,1.133,32,39,9
32,backup,13,423,0.973,329051528,77,92259896,1.148,33,35,9
33,backup,13,436,0.972,331823735,79,93332665,1.209,34,36,9
34,backup,13,449,0.96,333954991,81,94382208,1.09,35,37,9
35,backup,13,462,0.939,336488557,83,93858789,1.135,36,38,9
36,backup,13,475,1.026,339308459,84,93335426,1.079,37,38,9
37,backup,13,488,1.086,345009404,84,92789398,1.312,38,37,9
38,backup,13,501,0.999,349420333,86,92790478,1.295,39,38,9
39,backup,13,514,0.913,351551600,89,92791431,1.046,40,40,9
40,backup,13,527,0.988,353511058,91,93382168,1.123,41,41,9
41,backup,13,540,0.93,355806577,92,93383048,1.152,42,41,9
42,backup,13,553,1.071,361507539,91,92794361,1.149,43,39,9
43,backup,13,566,1.05,364279745,92,92795301,1.169,44,39,9
43,repaired,54,620,0.847,364271789,50,92783666,1.094,2,39,9
