sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,1.113,3674225,17,3674704,20.937,2,6,9
2,backup,13,26,1.326,8921339,,,,,,
3,backup,13,39,1.072,11808818,,,,,,
4,backup,13,52,0.941,13385345,,,,,,
5,backup,13,65,0.93,15486324,,,,,,
6,backup,13,78,0.928,17062901,,,,,,
7,backup,13,91,0.998,20653550,,,,,,
8,backup,13,104,0.951,22492335,,,,,,
9,backup,13,117,0.952,25380002,,,,,,
10,backup,13,130,0.943,27481253,36,13120099,24.421,11,16,9
11,backup,13,143,1.226,31792985,,,,,,
12,backup,13,156,1.117,36694670,,,,,,
13,backup,13,169,1.036,39844716,,,,,,
14,backup,13,182,0.973,43476561,,,,,,
15,backup,13,195,0.974,45578039,,,,,,
16,backup,13,208,0.955,47941543,,,,,,
17,backup,13,221,1.087,51878259,,,,,,
18,backup,13,234,1.028,55028475,,,,,,
19,backup,13,247,0.99,58440956,,,,,,
20,backup,13,260,1.097,64737429,,,,,,
21,backup,13,273,5.252,67101062,,,,,,
22,backup,13,286,1.067,68837461,,,,,,
23,backup,13,299,1.113,76002327,,,,,,
24,backup,13,312,0.992,79152681,,,,,,
25,backup,13,325,1.03,81516529,,,,,,
26,backup,13,338,1.137,87970533,,,,,,
27,backup,13,351,1.217,91907427,,,,,,
28,backup,13,364,1.01,95844363,,,,,,
29,backup,13,377,0.903,97683794,,,,,,
30,backup,13,390,1.002,100047670,,,,,,
31,backup,13,403,0.98,103460228,,,,,,
32,backup,13,416,1.074,108586518,,,,,,
33,backup,13,429,0.999,110984233,,,,,,
34,backup,13,442,1.026,114397030,,,,,,
35,backup,13,455,0.998,118072011,,,,,,
36,backup,13,468,0.995,120436066,,,,,,
37,backup,13,481,0.988,123764946,,,,,,
38,backup,13,494,1.12,126653528,,,,,,
39,backup,13,507,0.98,130545223,,,,,,
40,backup,13,520,1.073,133171588,,,,,,
41,backup,13,533,1.104,137895705,,,,,,
42,backup,13,546,1.055,141787145,,,,,,
43,backup,13,559,1.073,144151508,,,,,,
44,backup,13,572,1.129,149441219,,,,,,
45,backup,13,585,1.039,155168166,,,,,,
46,backup,13,598,1.069,158538971,,,,,,
47,backup,13,611,1.128,163263390,,,,,,
48,backup,13,624,1.146,166368582,,,,,,
49,backup,13,637,1.024,168995393,,,,,,
50,backup,13,650,1.049,172188013,,,,,,
51,backup,13,663,1.051,175555504,,,,,,
52,backup,13,676,1.169,180017955,,,,,,
53,backup,13,689,1.114,182382816,,,,,,
54,backup,13,702,0.938,184647377,,,,,,
55,backup,13,715,0.999,187960717,,,,,,
56,backup,13,728,1.062,191112232,,,,,,
57,backup,13,741,1.209,199769638,,,,,,
58,backup,13,754,1.313,206067414,,,,,,
59,backup,13,767,0.984,209218858,,,,,,
60,backup,13,780,1.339,217132657,,,,,,
61,backup,13,793,1.033,219497711,,,,,,
62,backup,13,806,1.011,221757480,,,,,,
63,backup,13,819,1.175,226220008,,,,,,
64,backup,13,832,1.019,229109344,,,,,,
65,backup,13,845,1.078,235144985,,,,,,
66,backup,13,858,0.976,238034514,,,,,,
67,backup,13,871,1.036,243021587,,,,,,
68,backup,13,884,1.075,245648896,,,,,,
69,backup,13,897,1.063,250373826,,,,,,
70,backup,13,910,1.09,253525534,,,,,,
71,backup,13,923,1.195,259823616,,,,,,
72,backup,13,936,1.024,262713105,,,,,,
73,backup,13,949,0.979,264816069,,,,,,
74,backup,13,962,1.122,271900930,,,,,,
75,backup,13,975,0.956,274222882,,,,,,
76,backup,13,988,1.014,278161300,,,,,,
77,backup,13,1001,1.012,281229237,,,,,,
78,backup,13,1014,1.017,283594639,,,,,,
79,backup,13,1027,0.978,285960039,,,,,,
80,backup,13,1040,0.986,288587569,,,,,,
81,backup,13,1053,1.008,290868985,,,,,,
82,backup,13,1066,1.096,294807578,,,,,,
83,backup,13,1079,1.095,297435219,,,,,,
84,backup,13,1092,1.235,299740994,,,,,,
85,backup,13,1105,1.169,305603901,,,,,,
86,backup,13,1118,0.946,308493832,,,,,,
87,backup,13,1131,1.104,311646136,,,,,,
88,backup,13,1144,1.02,314217954,,,,,,
89,backup,13,1157,1.152,318507853,,,,,,
90,backup,13,1170,1.166,324544323,,,,,,
91,backup,13,1183,1.016,327217781,,,,,,
92,backup,13,1196,1.007,330107963,,,,,,
93,backup,13,1209,0.983,332735990,,,,,,
94,backup,13,1222,1.039,336412751,,,,,,
95,backup,13,1235,0.97,339040840,,,,,,
96,backup,13,1248,1.151,345601985,,,,,,
97,backup,13,1261,0.962,348175309,,,,,,
98,backup,13,1274,1.203,353949998,,,,,,
99,backup,13,1287,1.048,359200342,,,,,,
100,backup,13,1300,1.098,363139724,161,62480783,28.217,101,51,9
101,backup,13,1313,0.969,366030281,,,,,,
102,backup,13,1326,1.017,370065009,,,,,,
103,backup,13,1339,0.963,372693339,,,,,,
104,backup,13,1352,0.975,375321665,,,,,,
105,backup,13,1365,1.01,379756105,,,,,,
106,backup,13,1378,1.055,384482076,,,,,,
107,backup,13,1391,0.956,386848413,,,,,,
108,backup,13,1404,1.11,391836757,,,,,,
109,backup,13,1417,0.982,394727463,,,,,,
110,backup,13,1430,0.979,397093966,,,,,,
111,backup,13,1443,1.048,401820319,,,,,,
112,backup,13,1456,1.141,409604394,,,,,,
113,backup,13,1469,1.073,414342354,,,,,,
114,backup,13,1482,0.941,416709212,,,,,,
115,backup,13,1495,1.026,418813885,,,,,,
116,backup,13,1508,1.035,421454283,,,,,,
117,backup,13,1521,0.994,423663416,,,,,,
118,backup,13,1534,1.18,430225537,,,,,,
119,backup,13,1547,1.086,435214471,,,,,,
120,backup,13,1560,0.953,437626446,,,,,,
121,backup,13,1573,1.064,443469812,,,,,,
122,backup,13,1586,0.953,445836745,,,,,,
123,backup,13,1599,1.157,453985658,,,,,,
124,backup,13,1612,1.068,456876994,,,,,,
125,backup,13,1625,1.059,461079377,,,,,,
126,backup,13,1638,1.113,467840705,,,,,,
127,backup,13,1651,1.019,471272959,,,,,,
128,backup,13,1664,1.077,475009008,,,,,,
129,backup,13,1677,0.99,478424856,,,,,,
130,backup,13,1690,1.055,481054151,,,,,,
131,backup,13,1703,1.117,487092026,,,,,,
132,backup,13,1716,0.952,489721356,,,,,,
133,backup,13,1729,1.105,492088573,,,,,,
134,backup,13,1742,1.007,494991396,,,,,,
135,backup,13,1755,1.074,500589222,,,,,,
136,backup,13,1768,1.057,502431994,,,,,,
137,backup,13,1781,1.037,506634589,,,,,,
138,backup,13,1794,1.138,510312816,,,,,,
139,backup,13,1807,0.935,512680156,,,,,,
140,backup,13,1820,0.98,514785275,,,,,,
141,backup,13,1833,1.035,518725498,,,,,,
142,backup,13,1846,1.1,523976803,,,,,,
143,backup,13,1859,1.087,526868392,,,,,,
144,backup,13,1872,1.014,530284276,,,,,,
145,backup,13,1885,0.975,532709518,,,,,,
146,backup,13,1898,1.024,536210167,,,,,,
147,backup,13,1911,0.966,538577563,,,,,,
148,backup,13,1924,1.053,540944999,,,,,,
149,backup,13,1937,1.163,544099037,,,,,,
150,backup,13,1950,1.053,546503608,,,,,,
151,backup,13,1963,1.022,550182111,,,,,,
152,backup,13,1976,1.109,555787150,,,,,,
153,backup,13,1989,1.064,558588961,,,,,,
154,backup,13,2002,1.008,562267342,,,,,,
155,backup,13,2015,1.008,564449387,,,,,,
156,backup,13,2028,1.183,568390037,,,,,,
157,backup,13,2041,1.098,572068757,,,,,,
158,backup,13,2054,1.04,575559776,,,,,,
159,backup,13,2067,1.083,579162934,,,,,,
160,backup,13,2080,1.083,583890409,,,,,,
