sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
1,backup,13,13,0.806,3152758,22,3153046,0.776,2,11,9
2,backup,13,26,0.791,7353838,,,,,,
3,backup,13,39,0.783,9457517,,,,,,
4,backup,13,52,0.81,11036854,,,,,,
5,backup,13,65,0.774,14713690,,,,,,
6,backup,13,78,0.79,16555186,,,,,,
7,backup,13,91,0.787,19864673,,,,,,
8,backup,13,104,0.808,21549396,,,,,,
9,backup,13,117,0.788,24964254,,,,,,
10,backup,13,130,0.798,29083772,41,12076254,0.745,11,21,9
11,backup,13,143,0.787,32442538,,,,,,
12,backup,13,156,0.745,36643909,,,,,,
13,backup,13,169,0.796,39534398,,,,,,
14,backup,13,182,0.78,42550789,,,,,,
15,backup,13,195,0.797,44518383,,,,,,
16,backup,13,208,0.799,46884629,,,,,,
17,backup,13,221,0.824,50037445,,,,,,
18,backup,13,234,0.785,55549853,,,,,,
19,backup,13,247,0.819,57916034,,,,,,
20,backup,13,260,0.752,61330955,,,,,,
21,backup,13,273,0.823,64483708,,,,,,
22,backup,13,286,0.831,67898628,,,,,,
23,backup,13,299,0.786,70789354,,,,,,
24,backup,13,312,0.795,75515522,,,,,,
25,backup,13,325,0.764,79455081,,,,,,
26,backup,13,338,0.773,81559226,,,,,,
27,backup,13,351,0.79,84712214,,,,,,
28,backup,13,364,0.755,87078650,,,,,,
29,backup,13,377,0.759,90485191,,,,,,
30,backup,13,390,0.774,93900448,64,19436388,0.737,31,24,9
31,backup,13,403,0.759,96791258,,,,,,
32,backup,13,416,0.799,101801998,,,,,,
33,backup,13,429,0.816,105741573,,,,,,
34,backup,13,442,0.778,110205552,,,,,,
35,backup,13,455,0.794,112807598,,,,,,
36,backup,13,468,0.832,115174163,,,,,,
37,backup,13,481,0.769,117540754,,,,,,
38,backup,13,494,0.846,121480517,,,,,,
39,backup,13,507,0.832,126993322,,,,,,
40,backup,13,520,0.822,129622085,,,,,,
41,backup,13,533,0.842,133561917,,,,,,
42,backup,13,546,0.776,136917503,,,,,,
43,backup,13,559,0.826,139808614,,,,,,
44,backup,13,572,0.808,141913313,,,,,,
45,backup,13,585,0.831,145531422,,,,,,
46,backup,13,598,0.825,148160552,,,,,,
47,backup,13,611,0.821,150783356,,,,,,
48,backup,13,624,0.821,154663668,,,,,,
49,backup,13,637,0.813,158341672,,,,,,
50,backup,13,650,0.783,162232733,,,,,,
51,backup,13,663,0.819,165386434,,,,,,
52,backup,13,676,0.836,171955161,,,,,,
53,backup,13,689,0.794,175371011,,,,,,
54,backup,13,702,0.864,178149662,,,,,,
55,backup,13,715,0.821,181625417,,,,,,
56,backup,13,728,0.793,183992606,,,,,,
57,backup,13,741,0.811,186621927,,,,,,
58,backup,13,754,0.819,189453636,,,,,,
59,backup,13,767,0.795,192500986,,,,,,
60,backup,13,780,0.786,195963606,105,34934002,0.778,61,35,9
61,backup,13,793,0.789,198330875,,,,,,
62,backup,13,806,0.814,201222450,,,,,,
63,backup,13,819,0.806,202803171,,,,,,
64,backup,13,832,0.784,205717987,,,,,,
65,backup,13,845,0.831,209690663,,,,,,
66,backup,13,858,0.849,212320122,,,,,,
67,backup,13,871,0.813,214687392,,,,,,
68,backup,13,884,0.847,218269692,,,,,,
69,backup,13,897,0.857,223258725,,,,,,
70,backup,13,910,0.825,230345521,,,,,,
71,backup,13,923,0.764,233042901,,,,,,
72,backup,13,936,0.809,236002401,,,,,,
73,backup,13,949,0.844,240729463,,,,,,
74,backup,13,962,0.826,243358921,,,,,,
75,backup,13,975,0.839,245463947,,,,,,
76,backup,13,988,0.836,247151061,,,,,,
77,backup,13,1001,0.785,250566985,,,,,,
78,backup,13,1014,0.814,254245251,,,,,,
79,backup,13,1027,0.824,257283383,,,,,,
80,backup,13,1040,0.824,262166247,,,,,,
81,backup,13,1053,0.77,265582230,,,,,,
82,backup,13,1066,0.795,269260540,,,,,,
83,backup,13,1079,0.813,272676478,,,,,,
84,backup,13,1092,0.825,274997982,,,,,,
85,backup,13,1105,0.785,278938351,,,,,,
86,backup,13,1118,0.802,281829891,,,,,,
87,backup,13,1131,0.755,284473111,,,,,,
88,backup,13,1144,0.86,288675589,,,,,,
89,backup,13,1157,0.871,292353777,,,,,,
90,backup,13,1170,0.84,294720925,139,32603232,0.758,91,39,9
91,backup,13,1183,0.778,296563765,,,,,,
92,backup,13,1196,0.841,299193166,,,,,,
93,backup,13,1209,0.785,301036008,,,,,,
94,backup,13,1222,0.84,303665402,,,,,,
95,backup,13,1235,0.803,306032649,,,,,,
96,backup,13,1248,0.833,309186403,,,,,,
97,backup,13,1261,0.833,314175474,,,,,,
98,backup,13,1274,0.852,317329084,,,,,,
99,backup,13,1287,0.823,320820514,,,,,,
100,backup,13,1300,0.834,324049697,,,,,,
101,backup,13,1313,0.774,326154611,,,,,,
102,backup,13,1326,0.809,328939663,,,,,,
103,backup,13,1339,0.876,333404261,,,,,,
104,backup,13,1352,0.785,336402295,,,,,,
105,backup,13,1365,0.766,339639724,,,,,,
106,backup,13,1378,0.837,342531178,,,,,,
107,backup,13,1391,0.816,345152124,,,,,,
108,backup,13,1404,0.809,348305730,,,,,,
109,backup,13,1417,0.779,351983788,,,,,,
110,backup,13,1430,0.877,355811010,,,,,,
111,backup,13,1443,0.794,358090798,,,,,,
112,backup,13,1456,0.806,361506759,,,,,,
113,backup,13,1469,0.821,365270827,,,,,,
114,backup,13,1482,0.778,367900179,,,,,,
115,backup,13,1495,0.905,371064683,,,,,,
116,backup,13,1508,0.896,375137894,,,,,,
117,backup,13,1521,0.868,378291680,,,,,,
118,backup,13,1534,0.893,380658929,,,,,,
119,backup,13,1547,0.878,385910252,,,,,,
120,backup,13,1560,0.868,388890362,168,35962293,0.812,121,38,9
120,repaired,131,1691,0.861,388867732,49,35929308,0.849,2,38,9
